local,raca_cor,ano,genero,pessoas_nivel_escolaridade,nivel_escolaridade
Fortaleza,Total,2017,Total,297,Superior completo
Fortaleza,Total,2018,Total,387,Fundamental completo e médio incompleto ou equivalente
Fortaleza,Total,2018,Total,852,Médio completo ou equivalente e superior incompleto
Fortaleza,Total,2018,Total,563,Sem instrução e fundamental incompleto ou equivalente
Fortaleza,Total,2018,Total,356,Superior completo
Fortaleza,Total,2019,Total,369,Fundamental completo e médio incompleto ou equivalente
Fortaleza,Total,2019,Total,858,Médio completo ou equivalente e superior incompleto
Fortaleza,Total,2019,Total,555,Sem instrução e fundamental incompleto ou equivalente
Fortaleza,Total,2019,Total,378,Superior completo
Fortaleza,Total,2022,Total,407,Fundamental completo e médio incompleto ou equivalente
Fortaleza,Total,2022,Total,919,Médio completo ou equivalente e superior incompleto
Fortaleza,Total,2022,Total,535,Sem instrução e fundamental incompleto ou equivalente
Fortaleza,Total,2022,Total,387,Superior completo
Nordeste,Total,2016,Total,7429,Fundamental completo e médio incompleto ou equivalente
Nordeste,Total,2016,Total,12367,Médio completo ou equivalente e superior incompleto
Nordeste,Total,2016,Total,20227,Sem instrução e fundamental incompleto ou equivalente
Nordeste,Total,2016,Total,3381,Superior completo
Nordeste,Total,2017,Total,7457,Fundamental completo e médio incompleto ou equivalente
Nordeste,Total,2017,Total,12822,Médio completo ou equivalente e superior incompleto
Nordeste,Total,2017,Total,20154,Sem instrução e fundamental incompleto ou equivalente
Nordeste,Total,2017,Total,3583,Superior completo
Nordeste,Total,2018,Total,7351,Fundamental completo e médio incompleto ou equivalente
Nordeste,Total,2018,Total,13402,Médio completo ou equivalente e superior incompleto
Nordeste,Total,2018,Total,19704,Sem instrução e fundamental incompleto ou equivalente
Nordeste,Total,2018,Total,4005,Superior completo
Nordeste,Total,2019,Total,7409,Fundamental completo e médio incompleto ou equivalente
Nordeste,Total,2019,Total,13678,Médio completo ou equivalente e superior incompleto
Nordeste,Total,2019,Total,19365,Sem instrução e fundamental incompleto ou equivalente
Nordeste,Total,2019,Total,4376,Superior completo
Nordeste,Total,2022,Total,7718,Fundamental completo e médio incompleto ou equivalente
Nordeste,Total,2022,Total,15195,Médio completo ou equivalente e superior incompleto
Nordeste,Total,2022,Total,18282,Sem instrução e fundamental incompleto ou equivalente
Nordeste,Total,2022,Total,4774,Superior completo
