local,ano,genero,raça,nível_ensino,rend_real_habitual
Fortaleza,2015,Homem,Branca,Superior incompleto ou equivalente,"R$ 3.242,37"
Fortaleza,2015,Homem,Parda,Superior incompleto ou equivalente,"R$ 4.474,52"
Fortaleza,2015,Homem,Preta,Superior incompleto ou equivalente,"R$ 1.211,25"
Fortaleza,2015,Mulher,Branca,Superior incompleto ou equivalente,"R$ 1.894,29"
Fortaleza,2015,Mulher,Parda,Superior incompleto ou equivalente,"R$ 1.876,13"
Fortaleza,2015,Mulher,Preta,Superior incompleto ou equivalente,"R$ 981,37"
Fortaleza,2015,Homem,Branca,Superior completo,"R$ 8.191,30"
Fortaleza,2015,Homem,Parda,Superior completo,"R$ 7.137,95"
Fortaleza,2015,Homem,Preta,Superior completo,"R$ 13.143,64"
Fortaleza,2015,Mulher,Branca,Superior completo,"R$ 6.324,72"
Fortaleza,2015,Mulher,Parda,Superior completo,"R$ 5.856,00"
Fortaleza,2015,Mulher,Preta,Superior completo,"R$ 5.037,26"
Fortaleza,2016,Homem,Branca,Sem instrução e menos de 1 ano de estudo,"R$ 1.760,76"
Fortaleza,2016,Homem,Parda,Sem instrução e menos de 1 ano de estudo,"R$ 1.166,72"
Fortaleza,2016,Homem,Preta,Sem instrução e menos de 1 ano de estudo,"R$ 1.289,63"
Fortaleza,2016,Mulher,Branca,Sem instrução e menos de 1 ano de estudo,"R$ 6.407,94"
Fortaleza,2016,Mulher,Outros,Sem instrução e menos de 1 ano de estudo,"R$ 83,64"
Fortaleza,2016,Mulher,Parda,Sem instrução e menos de 1 ano de estudo,"R$ 926,96"
Fortaleza,2016,Mulher,Preta,Sem instrução e menos de 1 ano de estudo,"R$ 771,89"
Fortaleza,2016,Homem,Branca,Fundamental incompleto ou equivalente,"R$ 1.954,35"
Fortaleza,2016,Homem,Parda,Fundamental incompleto ou equivalente,"R$ 1.543,70"
Fortaleza,2016,Homem,Preta,Fundamental incompleto ou equivalente,"R$ 1.458,00"
Fortaleza,2016,Mulher,Branca,Fundamental incompleto ou equivalente,"R$ 830,85"
Fortaleza,2016,Mulher,Outros,Fundamental incompleto ou equivalente,"R$ 1.257,95"
Fortaleza,2016,Mulher,Parda,Fundamental incompleto ou equivalente,"R$ 1.118,36"
Fortaleza,2016,Mulher,Preta,Fundamental incompleto ou equivalente,"R$ 1.275,08"
Fortaleza,2016,Homem,Branca,Fundamental completo ou equivalente,"R$ 2.434,04"
Fortaleza,2016,Homem,Parda,Fundamental completo ou equivalente,"R$ 1.742,57"
Fortaleza,2016,Homem,Preta,Fundamental completo ou equivalente,"R$ 1.175,72"
Fortaleza,2016,Mulher,Branca,Fundamental completo ou equivalente,"R$ 1.698,74"
Fortaleza,2016,Mulher,Parda,Fundamental completo ou equivalente,"R$ 1.279,77"
Fortaleza,2016,Mulher,Preta,Fundamental completo ou equivalente,"R$ 1.280,82"
Fortaleza,2016,Homem,Branca,Médio incompleto ou equivalente,"R$ 2.262,81"
Fortaleza,2016,Homem,Parda,Médio incompleto ou equivalente,"R$ 1.629,06"
Fortaleza,2016,Homem,Preta,Médio incompleto ou equivalente,"R$ 1.403,97"
Fortaleza,2016,Mulher,Branca,Médio incompleto ou equivalente,"R$ 1.229,76"
Fortaleza,2016,Mulher,Parda,Médio incompleto ou equivalente,"R$ 1.095,22"
Fortaleza,2016,Mulher,Preta,Médio incompleto ou equivalente,"R$ 779,97"
Fortaleza,2016,Homem,Branca,Médio completo ou equivalente,"R$ 3.472,57"
Fortaleza,2016,Homem,Parda,Médio completo ou equivalente,"R$ 2.481,66"
Fortaleza,2016,Homem,Preta,Médio completo ou equivalente,"R$ 2.122,65"
Fortaleza,2016,Mulher,Branca,Médio completo ou equivalente,"R$ 1.520,59"
Fortaleza,2016,Mulher,Outros,Médio completo ou equivalente,"R$ 1.858,34"
Fortaleza,2016,Mulher,Parda,Médio completo ou equivalente,"R$ 1.626,18"
Fortaleza,2016,Mulher,Preta,Médio completo ou equivalente,"R$ 1.585,29"
Fortaleza,2016,Homem,Branca,Superior incompleto ou equivalente,"R$ 3.223,51"
Fortaleza,2016,Homem,Parda,Superior incompleto ou equivalente,"R$ 3.114,50"
Fortaleza,2016,Homem,Preta,Superior incompleto ou equivalente,"R$ 3.924,64"
Fortaleza,2016,Mulher,Branca,Superior incompleto ou equivalente,"R$ 2.387,80"
Fortaleza,2016,Mulher,Parda,Superior incompleto ou equivalente,"R$ 1.672,80"
