local,raca_cor,ano,genero,notificacoes_violencia_contra_mulher
Ceará,Indigena,2019,Total,21
Ceará,Total,2019,Total,6076
Fortaleza,Ignorado,2019,Total,103
Fortaleza,Branca,2019,Total,689
Fortaleza,Preta,2019,Total,208
Fortaleza,Amarela,2019,Total,18
Fortaleza,Parda,2019,Total,2909
Fortaleza,Indigena,2019,Total,10
Fortaleza,Total,2019,Total,3937
Nordeste,Ignorado,2019,Total,1567
Nordeste,Branca,2019,Total,4075
Nordeste,Preta,2019,Total,2772
Nordeste,Amarela,2019,Total,310
Nordeste,Parda,2019,Total,21024
Nordeste,Indigena,2019,Total,210
Nordeste,Total,2019,Total,29958
Brasil,Ignorado,2020,Total,9699
Brasil,Branca,2020,Total,58710
Brasil,Preta,2020,Total,15066
Brasil,Amarela,2020,Total,1429
Brasil,Parda,2020,Total,68585
Brasil,Indigena,2020,Total,1638
Brasil,Total,2020,Total,155127
Ceará,Ignorado,2020,Total,162
Ceará,Branca,2020,Total,632
Ceará,Preta,2020,Total,251
Ceará,Amarela,2020,Total,23
Ceará,Parda,2020,Total,3734
Ceará,Indigena,2020,Total,17
Ceará,Total,2020,Total,4819
Fortaleza,Ignorado,2020,Total,134
Fortaleza,Branca,2020,Total,418
Fortaleza,Preta,2020,Total,155
Fortaleza,Amarela,2020,Total,17
Fortaleza,Parda,2020,Total,2040
Fortaleza,Indigena,2020,Total,3
Fortaleza,Total,2020,Total,2767
Nordeste,Ignorado,2020,Total,1389
Nordeste,Branca,2020,Total,2889
Nordeste,Preta,2020,Total,2141
Nordeste,Amarela,2020,Total,246
Nordeste,Parda,2020,Total,17493
Nordeste,Indigena,2020,Total,143
Nordeste,Total,2020,Total,24301
Brasil,Ignorado,2021,Total,11232
Brasil,Branca,2021,Total,65031
Brasil,Preta,2021,Total,17210
Brasil,Amarela,2021,Total,1558
Brasil,Parda,2021,Total,78647
Brasil,Indigena,2021,Total,1682
Brasil,Total,2021,Total,175360
Ceará,Ignorado,2021,Total,264
Ceará,Branca,2021,Total,713
Ceará,Preta,2021,Total,289
Ceará,Amarela,2021,Total,30
Ceará,Parda,2021,Total,3956
Ceará,Indigena,2021,Total,19
Ceará,Total,2021,Total,5271
Fortaleza,Ignorado,2021,Total,237
Fortaleza,Branca,2021,Total,485
Fortaleza,Preta,2021,Total,181
Fortaleza,Amarela,2021,Total,24
Fortaleza,Parda,2021,Total,1939
Fortaleza,Indigena,2021,Total,7
Fortaleza,Total,2021,Total,2873
Nordeste,Ignorado,2021,Total,1986
Nordeste,Branca,2021,Total,3619
Nordeste,Preta,2021,Total,2853
Nordeste,Amarela,2021,Total,297
Nordeste,Parda,2021,Total,20873
Nordeste,Indigena,2021,Total,148
Nordeste,Total,2021,Total,29776
Brasil,Ignorado,2022,Total,12690
Brasil,Branca,2022,Total,82445
Brasil,Preta,2022,Total,21898
Brasil,Amarela,2022,Total,2064
Brasil,Parda,2022,Total,101412
Brasil,Indigena,2022,Total,2274
Brasil,Total,2022,Total,222783
Ceará,Ignorado,2022,Total,327
Ceará,Branca,2022,Total,1168
Ceará,Preta,2022,Total,546
Ceará,Amarela,2022,Total,115
Ceará,Parda,2022,Total,7057
Ceará,Indigena,2022,Total,43
Ceará,Total,2022,Total,9256
Fortaleza,Ignorado,2022,Total,300
Fortaleza,Branca,2022,Total,835
Fortaleza,Preta,2022,Total,379
Fortaleza,Amarela,2022,Total,100
Fortaleza,Parda,2022,Total,3995
Fortaleza,Indigena,2022,Total,22
Fortaleza,Total,2022,Total,5631
Nordeste,Ignorado,2022,Total,2428
Nordeste,Branca,2022,Total,4964
Nordeste,Preta,2022,Total,3751
Nordeste,Amarela,2022,Total,353
Nordeste,Parda,2022,Total,27327
Nordeste,Indigena,2022,Total,247
Nordeste,Total,2022,Total,39070
