local,raca_cor,ano,genero,idade,total_desocupacao
Brasil,Parda,2012,Masc,14-19,399103
Brasil,Parda,2012,Masc,20-29,686048
Brasil,Parda,2012,Masc,30-39,303350
Brasil,Parda,2012,Masc,40-49,181574
Brasil,Parda,2012,Masc,50-59,110165
Brasil,Parda,2012,Masc,60-65,30054
Brasil,Parda,2012,Masc,66+,7258
Brasil,Parda,2012,Fem,14-19,379753
Brasil,Parda,2012,Fem,20-29,784088
Brasil,Parda,2012,Fem,30-39,403581
Brasil,Parda,2012,Fem,40-49,216314
Brasil,Parda,2012,Fem,50-59,59350
Brasil,Parda,2012,Fem,60-65,8743
Brasil,Parda,2012,Fem,66+,1554
Brasil,Parda,2012,Masc,Total,1717552
Brasil,Parda,2012,Fem,Total,1853384
Brasil,Parda,2012,Total,14-19,778856
Brasil,Parda,2012,Total,20-29,1470136
Brasil,Parda,2012,Total,30-39,706931
Brasil,Parda,2012,Total,40-49,397889
Brasil,Parda,2012,Total,50-59,169515
Brasil,Parda,2012,Total,60-65,38797
Brasil,Parda,2012,Total,66+,8812
Brasil,Parda,2013,Total,Total,3703317
Brasil,Parda,2013,Masc,14-19,383426
Brasil,Parda,2013,Masc,20-29,728489
Brasil,Parda,2013,Masc,30-39,325830
Brasil,Parda,2013,Masc,40-49,189603
Brasil,Parda,2013,Masc,50-59,100892
Brasil,Parda,2013,Masc,60-65,27244
Brasil,Parda,2013,Masc,66+,3855
Brasil,Parda,2013,Fem,14-19,408888
Brasil,Parda,2013,Fem,20-29,789671
Brasil,Parda,2013,Fem,30-39,451173
Brasil,Parda,2013,Fem,40-49,209395
Brasil,Parda,2013,Fem,50-59,71112
Brasil,Parda,2013,Fem,60-65,9345
Brasil,Parda,2013,Fem,66+,4394
Brasil,Parda,2013,Masc,Total,1759340
Brasil,Parda,2013,Fem,Total,1943977
Brasil,Parda,2013,Total,14-19,792314
Brasil,Parda,2013,Total,20-29,1518161
Brasil,Parda,2013,Total,30-39,777003
Brasil,Parda,2013,Total,40-49,398997
Brasil,Parda,2013,Total,50-59,172004
Brasil,Parda,2013,Total,60-65,36589
Brasil,Parda,2013,Total,66+,8249
Brasil,Parda,2014,Total,Total,3524590
Brasil,Parda,2014,Masc,14-19,349301
Brasil,Parda,2014,Masc,20-29,668719
Brasil,Parda,2014,Masc,30-39,338973
Brasil,Parda,2014,Masc,40-49,168607
Brasil,Parda,2014,Masc,50-59,105155
Brasil,Parda,2014,Masc,60-65,24829
Brasil,Parda,2014,Masc,66+,3367
Brasil,Parda,2014,Fem,14-19,375623
Brasil,Parda,2014,Fem,20-29,777794
Brasil,Parda,2014,Fem,30-39,401664
Brasil,Parda,2014,Fem,40-49,205987
Brasil,Parda,2014,Fem,50-59,87995
Brasil,Parda,2014,Fem,60-65,10787
Brasil,Parda,2014,Fem,66+,5789
Brasil,Parda,2014,Masc,Total,1658951
Brasil,Parda,2014,Fem,Total,1865639
Brasil,Parda,2014,Total,14-19,724923
Brasil,Parda,2014,Total,20-29,1446512
Brasil,Parda,2014,Total,30-39,740637
